pokedex_num;pokemon_name;classification;alternate_name;legendary_type;height;weight;type_1;type_2;ability_1;ability_2;attack;defense;sp_attack;sp_defense;speed;total
25;Pikachu;Mouse ;Gigantamax;NULL;210;0;Electric;NULL;Static;NULL;55;40;50;50;90;320
25;Pikachu;Mouse ;Starter;NULL;4;60;Electric;NULL;Static;NULL;80;50;75;60;120;430
26;Raichu;Mouse ;NULL;NULL;8;300;Electric;NULL;Static;NULL;90;55;90;80;110;485
26;Raichu;Mouse ;NULL;NULL;8;300;Electric;NULL;Static;NULL;90;55;90;80;110;485
26;Raichu;Mouse ;NULL;NULL;8;300;Electric;NULL;Static;NULL;90;55;90;80;110;485
26;Raichu;Mouse ;Alola;NULL;7;210;Electric;Psychic;Surge Surfer;NULL;85;50;95;85;110;485
27;Sandshrew;Mouse ;NULL;NULL;6;120;Ground;NULL;Sand Veil;NULL;75;85;20;30;40;300
27;Sandshrew;Mouse ;Alola;NULL;7;400;Ice;Steel;Snow Cloak;NULL;75;90;10;35;40;300
28;Sandslash;Mouse ;NULL;NULL;10;295;Ground;NULL;Sand Veil;NULL;100;110;45;55;65;450
28;Sandslash;Mouse ;Alola;NULL;12;550;Ice;Steel;Snow Cloak;NULL;100;120;25;65;65;450
29;Nidoran (Female);Poison Pin ;NULL;NULL;4;70;Poison;NULL;Poison Point;Rivalry;47;52;40;40;41;275
30;Nidorina;Poison Pin ;NULL;NULL;8;200;Poison;NULL;Poison Point;Rivalry;62;67;55;55;56;365
31;Nidoqueen;Drill ;NULL;NULL;13;600;Poison;Ground;Poison Point;Rivalry;92;87;75;85;76;505
32;Nidoran (Male);Poison Pin ;NULL;NULL;5;90;Poison;NULL;Poison Point;Rivalry;57;40;40;40;50;273
33;Nidorino;Poison Pin ;NULL;NULL;9;195;Poison;NULL;Poison Point;Rivalry;72;57;55;55;65;365
34;Nidoking;Drill ;NULL;NULL;14;620;Poison;Ground;Poison Point;Rivalry;102;77;85;75;85;505
35;Clefairy;Fairy ;NULL;NULL;6;75;Fairy;NULL;Cute Charm;Magic Guard;45;48;60;65;35;323
36;Clefable;Fairy ;NULL;NULL;13;400;Fairy;NULL;Cute Charm;Magic Guard;70;73;95;90;60;483
37;Vulpix;Fox ;NULL;NULL;6;99;Fire;NULL;Flash Fire;NULL;41;40;50;65;65;299
37;Vulpix;Fox ;Alola;NULL;6;99;Ice;NULL;Snow Cloak;NULL;41;40;50;65;65;299
38;Ninetales;Fox ;NULL;NULL;11;199;Fire;NULL;Flash Fire;NULL;76;75;81;100;100;505
38;Ninetales;Fox ;Alola;NULL;11;199;Ice;Fairy;Snow Cloak;NULL;67;75;81;100;109;505
39;Jigglypuff;Balloon ;NULL;NULL;5;55;Normal;Fairy;Cute Charm;Competitive;45;20;45;25;20;270
40;Wigglytuff;Balloon ;NULL;NULL;10;120;Normal;Fairy;Cute Charm;Competitive;70;45;85;50;45;435
41;Zubat;Bat ;NULL;NULL;8;75;Poison;Flying;Inner Focus;NULL;45;35;30;40;55;245
42;Golbat;Bat ;NULL;NULL;16;550;Poison;Flying;Inner Focus;NULL;80;70;65;75;95;460
43;Oddish;Weed ;NULL;NULL;5;54;Grass;Poison;Chlorophyll;NULL;50;55;75;65;30;320
44;Gloom;Weed ;NULL;NULL;8;86;Grass;Poison;Chlorophyll;NULL;65;70;85;75;40;395
45;Vileplume;Flower ;NULL;NULL;12;186;Grass;Poison;Chlorophyll;NULL;80;85;110;90;50;490
46;Paras;Mushroom ;NULL;NULL;3;54;Bug;Grass;Effect Spore;Dry Skin;70;55;45;55;25;285
47;Parasect;Mushroom ;NULL;NULL;10;295;Bug;Grass;Effect Spore;Dry Skin;95;80;60;80;30;405
48;Venonat;Insect ;NULL;NULL;10;300;Bug;Poison;Compound Eyes;Tinted Lens;55;50;40;55;45;305
49;Venomoth;Poison Moth ;NULL;NULL;15;125;Bug;Poison;Shield Dust;Tinted Lens;65;60;90;75;90;450
50;Diglett;Mole ;NULL;NULL;2;8;Ground;NULL;Sand Veil;Arena Trap;55;25;35;45;95;265
50;Diglett;Mole ;Alola;NULL;2;10;Ground;Steel;Sand Veil;Tangling Hair;55;30;35;45;90;265
51;Dugtrio;Mole ;Alola;NULL;7;666;Ground;Steel;Sand Veil;Tangling Hair;100;60;50;70;110;425
51;Dugtrio;Mole ;NULL;NULL;7;333;Ground;NULL;Sand Veil;Arena Trap;100;50;50;70;120;425
52;Meowth;Scratch Cat ;Gigantamax;NULL;330;0;Normal;NULL;Pickup;Technician;45;35;40;40;90;290
52;Meowth;Scratch Cat ;NULL;NULL;4;42;Normal;NULL;Pickup;Technician;45;35;40;40;90;290
52;Meowth;Scratch Cat ;Alola;NULL;4;42;Dark;NULL;Pickup;Technician;35;35;50;40;90;290
52;Meowth;Scratch Cat ;Galar;NULL;4;75;Steel;NULL;Pickup;Tough Claws;65;55;40;40;40;290
53;Persian;Classy Cat ;NULL;NULL;10;320;Normal;NULL;Limber;Technician;70;60;65;65;115;440
53;Persian;Classy Cat ;Alola;NULL;11;330;Dark;NULL;Fur Coat;Technician;60;60;75;65;115;440
54;Psyduck;Duck ;NULL;NULL;8;196;Water;NULL;Damp;Cloud Nine;52;48;65;50;55;320
55;Golduck;Duck ;NULL;NULL;17;766;Water;NULL;Damp;Cloud Nine;82;78;95;80;85;500
56;Mankey;Pig Monkey ;NULL;NULL;5;280;Fighting;NULL;Vital Spirit;Anger Point;80;35;35;45;70;305
57;Primeape;Pig Monkey ;NULL;NULL;10;320;Fighting;NULL;Vital Spirit;Anger Point;105;60;60;70;95;455
58;Growlithe;Puppy ;NULL;NULL;7;190;Fire;NULL;Intimidate;Flash Fire;70;45;70;50;60;350
58;Growlithe;Scout ;Hisui;NULL;8;227;Fire;Rock;Intimidate;Flash Fire;75;45;65;50;55;350
59;Arcanine;Legendary ;Hisui;NULL;20;1680;Fire;Rock;Intimidate;Flash Fire;115;80;95;80;90;555
59;Arcanine;Legendary ;NULL;NULL;19;1550;Fire;NULL;Intimidate;Flash Fire;110;80;100;80;95;555
60;Poliwag;Tadpole ;NULL;NULL;6;124;Water;NULL;Water Absorb;Damp;50;40;40;40;90;300
61;Poliwhirl;Tadpole ;NULL;NULL;10;200;Water;NULL;Water Absorb;Damp;65;65;50;50;90;385
62;Poliwrath;Tadpole ;NULL;NULL;13;540;Water;Fighting;Water Absorb;Damp;95;95;70;90;70;510
63;Abra;Psi ;NULL;NULL;9;195;Psychic;NULL;Synchronize;Inner Focus;20;15;105;55;90;310
64;Kadabra;Psi ;NULL;NULL;13;565;Psychic;NULL;Synchronize;Inner Focus;35;30;120;70;105;400
65;Alakazam;Psi ;NULL;NULL;15;480;Psychic;NULL;Synchronize;Inner Focus;50;45;135;95;120;500
65;Alakazam;Psi ;NULL;NULL;15;480;Psychic;NULL;Synchronize;Inner Focus;50;45;135;95;120;500
65;Alakazam;Psi ;Mega;NULL;12;480;Psychic;NULL;Trace;NULL;50;65;175;105;150;600
66;Machop;Superpower ;NULL;NULL;8;195;Fighting;NULL;Guts;No Guard;80;50;35;35;35;305
67;Machoke;Superpower ;NULL;NULL;15;705;Fighting;NULL;Guts;No Guard;100;70;50;60;45;405
68;Machamp;Superpower ;NULL;NULL;16;1300;Fighting;NULL;Guts;No Guard;130;80;65;85;55;505
68;Machamp;Superpower ;NULL;NULL;16;1300;Fighting;NULL;Guts;No Guard;130;80;65;85;55;505
68;Machamp;Superpower ;Gigantamax;NULL;250;0;Fighting;NULL;Guts;No Guard;130;80;65;85;55;505
69;Bellsprout;Flower ;NULL;NULL;7;40;Grass;Poison;Chlorophyll;NULL;75;35;70;30;40;300
70;Weepinbell;Flycatcher ;NULL;NULL;10;64;Grass;Poison;Chlorophyll;NULL;90;50;85;45;55;390
71;Victreebel;Flycatcher ;NULL;NULL;17;155;Grass;Poison;Chlorophyll;NULL;105;65;100;70;70;490
72;Tentacool;Jellyfish ;NULL;NULL;9;455;Water;Poison;Clear Body;Liquid Ooze;40;35;50;100;70;335
73;Tentacruel;Jellyfish ;NULL;NULL;16;550;Water;Poison;Clear Body;Liquid Ooze;70;65;80;120;100;515
74;Geodude;Rock ;Alola;NULL;4;203;Rock;Electric;Magnet Pull;Sturdy;80;100;30;30;20;300
74;Geodude;Rock ;NULL;NULL;4;200;Rock;Ground;Rock Head;Sturdy;80;100;30;30;20;300
75;Graveler;Rock ;NULL;NULL;10;1050;Rock;Ground;Rock Head;Sturdy;95;115;45;45;35;390
75;Graveler;Rock ;Alola;NULL;10;1100;Rock;Electric;Magnet Pull;Sturdy;95;115;45;45;35;390
76;Golem;Megaton ;Alola;NULL;17;3160;Rock;Electric;Magnet Pull;Sturdy;120;130;55;65;45;495
76;Golem;Megaton ;NULL;NULL;14;3000;Rock;Ground;Rock Head;Sturdy;120;130;55;65;45;495
76;Golem;Megaton ;NULL;NULL;14;3000;Rock;Ground;Rock Head;Sturdy;120;130;55;65;45;495
77;Ponyta;Fire Horse ;NULL;NULL;10;300;Fire;NULL;Run Away;Flash Fire;85;55;65;65;90;410
77;Ponyta;Unique Horn ;Galar;NULL;8;240;Psychic;NULL;Run Away;Pastel Veil;85;55;65;65;90;410
78;Rapidash;Unique Horn ;Galar;NULL;17;800;Psychic;Fairy;Run Away;Pastel Veil;100;70;80;80;105;500
78;Rapidash;Fire Horse ;NULL;NULL;17;950;Fire;NULL;Run Away;Flash Fire;100;70;80;80;105;500
79;Slowpoke;Dopey ;NULL;NULL;12;360;Water;Psychic;Oblivious;Own Tempo;65;65;40;40;15;315
79;Slowpoke;Dopey ;Galar;NULL;12;360;Psychic;NULL;Gluttony;Own Tempo;65;65;40;40;15;315
80;Slowbro;Hermit Crab ;Mega;NULL;20;1200;Water;Psychic;Shell Armor;NULL;75;180;130;80;30;590
80;Slowbro;Hermit Crab ;Galar;NULL;16;705;Poison;Psychic;Quick Draw;Own Tempo;100;95;100;70;30;490
80;Slowbro;Hermit Crab ;NULL;NULL;16;785;Water;Psychic;Oblivious;Own Tempo;75;110;100;80;30;490
81;Magnemite;Magnet ;NULL;NULL;3;60;Electric;Steel;Magnet Pull;Sturdy;35;70;95;55;45;325
82;Magneton;Magnet ;NULL;NULL;10;600;Electric;Steel;Magnet Pull;Sturdy;60;95;120;70;70;465
83;Farfetch'd;Wild Duck ;NULL;NULL;8;150;Normal;Flying;Keen Eye;Inner Focus;90;55;58;62;60;377
83;Farfetch'd;Wild Bull ;Galar;NULL;8;420;Fighting;NULL;Steadfast;NULL;95;55;58;62;55;377
84;Doduo;Twin Bird ;NULL;NULL;14;392;Normal;Flying;Run Away;Early Bird;85;45;35;35;75;310
85;Dodrio;Triple Bird ;NULL;NULL;18;852;Normal;Flying;Run Away;Early Bird;110;70;60;60;110;470
86;Seel;Sea Lion ;NULL;NULL;11;900;Water;NULL;Thick Fat;Hydration;45;55;45;70;45;325
87;Dewgong;Sea Lion ;NULL;NULL;17;1200;Water;Ice;Thick Fat;Hydration;70;80;70;95;70;475
88;Grimer;Sludge ;NULL;NULL;9;300;Poison;NULL;Stench;Sticky Hold;80;50;40;50;25;325
88;Grimer;Sludge ;Alola;NULL;7;420;Poison;Dark;Poison Touch;Gluttony;80;50;40;50;25;325
89;Muk;Sludge ;Alola;NULL;10;520;Poison;Dark;Poison Touch;Gluttony;105;75;65;100;50;500
89;Muk;Sludge ;NULL;NULL;12;300;Poison;NULL;Stench;Sticky Hold;105;75;65;100;50;500
90;Shellder;Bivalve ;NULL;NULL;3;40;Water;NULL;Shell Armor;Skill Link;65;100;45;25;40;305
91;Cloyster;Bivalve ;NULL;NULL;15;1325;Water;Ice;Shell Armor;Skill Link;95;180;85;45;70;525
92;Gastly;Gas ;NULL;NULL;13;1;Ghost;Poison;Levitate;NULL;35;30;100;35;80;310
93;Haunter;Gas ;NULL;NULL;16;1;Ghost;Poison;Levitate;NULL;50;45;115;55;95;405
94;Gengar;Shadow ;NULL;NULL;15;405;Ghost;Poison;Cursed Body;NULL;65;60;130;75;110;500
94;Gengar;Shadow ;NULL;NULL;15;405;Ghost;Poison;Cursed Body;NULL;65;60;130;75;110;500
94;Gengar;Shadow ;Mega;NULL;14;405;Ghost;Poison;Shadow Tag;NULL;65;80;170;95;130;600
94;Gengar;Shadow ;Gigantamax;NULL;200;0;Ghost;Poison;Cursed Body;NULL;65;60;130;75;110;500
95;Onix;Rock Snake ;NULL;NULL;88;2100;Rock;Ground;Rock Head;Sturdy;45;160;30;45;70;385
96;Drowzee;Hypnosis ;NULL;NULL;10;324;Psychic;NULL;Insomnia;Forewarn;48;45;43;90;42;328
97;Hypno;Hypnosis ;NULL;NULL;16;756;Psychic;NULL;Insomnia;Forewarn;73;70;73;115;67;483
98;Krabby;River Crab ;NULL;NULL;4;65;Water;NULL;Hyper Cutter;Shell Armor;105;90;25;25;50;325
99;Kingler;Pincer ;NULL;NULL;13;600;Water;NULL;Hyper Cutter;Shell Armor;130;115;50;50;75;475
99;Kingler;Pincer ;Gigantamax;NULL;190;0;Water;NULL;Hyper Cutter;Shell Armor;130;115;50;50;75;475
100;Voltorb;Sphere ;Hisui;NULL;5;130;Electric;Grass;Soundproof;Static;30;50;55;55;100;330
100;Voltorb;Ball ;NULL;NULL;5;105;Electric;NULL;Soundproof;Static;30;50;55;55;100;330
101;Electrode;Ball ;NULL;NULL;12;666;Electric;NULL;Soundproof;Static;50;70;80;80;150;490
101;Electrode;Sphere ;Hisui;NULL;12;710;Electric;Grass;Soundproof;Static;50;70;80;80;150;490
102;Exeggcute;Egg ;NULL;NULL;4;25;Grass;Psychic;Chlorophyll;NULL;40;80;60;45;40;325
103;Exeggutor;Coconut ;NULL;NULL;20;1200;Grass;Psychic;Chlorophyll;NULL;95;85;125;75;55;530
103;Exeggutor;Coconut ;NULL;NULL;20;1200;Grass;Psychic;Chlorophyll;NULL;95;85;125;75;55;530
103;Exeggutor;Coconut ;NULL;NULL;20;1200;Grass;Psychic;Chlorophyll;NULL;95;85;125;75;55;530
103;Exeggutor;Coconut ;Alola;NULL;109;4156;Grass;Dragon;Frisk;NULL;105;85;125;75;45;530
104;Cubone;Lonely ;NULL;NULL;4;65;Ground;NULL;Rock Head;Lightning Rod;50;95;40;50;35;320
105;Marowak;Bone Keeper ;NULL;NULL;10;450;Ground;NULL;Rock Head;Lightning Rod;80;110;50;80;45;425
105;Marowak;Bone Keeper ;NULL;NULL;10;450;Ground;NULL;Rock Head;Lightning Rod;80;110;50;80;45;425
105;Marowak;Bone Keeper ;NULL;NULL;10;450;Ground;NULL;Rock Head;Lightning Rod;80;110;50;80;45;425
105;Marowak;Bone Keeper ;Alola;NULL;10;340;Ghost;Fire;Cursed Body;Lightning Rod;80;110;50;80;45;425
106;Hitmonlee;Kicking ;NULL;NULL;15;498;Fighting;NULL;Limber;Reckless;120;53;35;110;87;455
107;Hitmonchan;Punching ;NULL;NULL;14;502;Fighting;NULL;Keen Eye;Iron Fist;105;79;35;110;76;455
108;Lickitung;Licking ;NULL;NULL;12;655;Normal;NULL;Own Tempo;Oblivious;55;75;60;75;30;385
109;Koffing;Poison Gas ;NULL;NULL;6;10;Poison;NULL;Levitate;Neutralizing Gas;65;95;60;45;35;340
110;Weezing;Poison Gas ;NULL;NULL;12;95;Poison;NULL;Levitate;Neutralizing Gas;90;120;85;70;60;490
110;Weezing;Poison Gas ;Galar;NULL;30;160;Poison;Fairy;Levitate;Neutralizing Gas;90;120;85;70;60;490
111;Rhyhorn;Spikes ;NULL;NULL;10;1150;Ground;Rock;Lightning Rod;Rock Head;85;95;30;30;25;345
112;Rhydon;Drill ;NULL;NULL;19;1200;Ground;Rock;Lightning Rod;Rock Head;130;120;45;45;40;485
113;Chansey;Egg ;NULL;NULL;11;346;Normal;NULL;Natural Cure;Serene Grace;5;5;35;105;50;450
114;Tangela;Vine ;NULL;NULL;10;350;Grass;NULL;Chlorophyll;Leaf Guard;55;115;100;40;60;435
115;Kangaskhan;Parent ;NULL;NULL;22;800;Normal;NULL;Early Bird;Scrappy;95;80;40;80;90;490
115;Kangaskhan;Parent ;Mega;NULL;22;1000;Normal;NULL;Parental Bond;NULL;125;100;60;100;100;590
116;Horsea;Dragon ;NULL;NULL;4;80;Water;NULL;Swift Swim;Sniper;40;70;70;25;60;295
117;Seadra;Dragon ;NULL;NULL;12;250;Water;NULL;Poison Point;Sniper;65;95;95;45;85;440
118;Goldeen;Goldfish ;NULL;NULL;6;150;Water;NULL;Swift Swim;Water Veil;67;60;35;50;63;320
119;Seaking;Goldfish ;NULL;NULL;13;390;Water;NULL;Swift Swim;Water Veil;92;65;65;80;68;450
120;Staryu;Star Shape ;NULL;NULL;8;345;Water;NULL;Illuminate;Natural Cure;45;55;70;55;85;340
121;Starmie;Mysterious ;NULL;NULL;11;800;Water;Psychic;Illuminate;Natural Cure;75;85;100;85;115;520
122;Mr. Mime;Barrier ;NULL;NULL;13;545;Psychic;Fairy;Soundproof;Filter;45;65;100;120;90;460
122;Mr. Mime;Dancing ;Galar;NULL;14;560;Ice;Psychic;Vital Spirit;Screen Cleaner;65;65;90;90;100;460
123;Scyther;Mantis ;NULL;NULL;15;560;Bug;Flying;Swarm;Technician;110;80;55;80;105;500
124;Jynx;Human Shape ;NULL;NULL;14;406;Ice;Psychic;Oblivious;Forewarn;50;35;115;95;95;455
125;Electabuzz;Electric ;NULL;NULL;11;300;Electric;NULL;Static;NULL;83;57;95;85;105;490
126;Magmar;Spitfire ;NULL;NULL;13;445;Fire;NULL;Flame Body;NULL;95;57;100;85;93;495
127;Pinsir;Stag Beetle ;NULL;NULL;15;550;Bug;NULL;Hyper Cutter;Mold Breaker;125;100;55;70;85;500
127;Pinsir;Stag Beetle ;Mega;NULL;17;590;Bug;Flying;Aerilate;NULL;155;120;65;90;105;600
128;Tauros;Wild Bull ;Paldean Combat Breed;NULL;14;1150;Fighting;NULL;Intimidate;Anger Point;110;105;30;70;100;490
128;Tauros;Wild Bull ;Paldean Blaze Breed;NULL;14;850;Fighting;Fire;Intimidate;Anger Point;110;105;30;70;100;490
128;Tauros;Wild Bull ;Paldean Aqua Breed;NULL;14;1100;Fighting;Water;Intimidate;Anger Point;110;105;30;70;100;490
128;Tauros;Wild Bull ;NULL;NULL;14;884;Normal;NULL;Intimidate;Anger Point;100;95;40;70;110;490
129;Magikarp;Fish ;NULL;NULL;9;100;Water;NULL;Swift Swim;NULL;10;55;15;20;80;200
130;Gyarados;Atrocious ;NULL;NULL;65;2350;Water;Flying;Intimidate;NULL;125;79;60;100;81;540
130;Gyarados;Atrocious ;Mega;NULL;65;3050;Water;Dark;Mold Breaker;NULL;155;109;70;130;81;640
131;Lapras;Transport ;Gigantamax;NULL;240;0;Water;Ice;Water Absorb;Shell Armor;85;80;85;95;60;535
131;Lapras;Transport ;NULL;NULL;25;2200;Water;Ice;Water Absorb;Shell Armor;85;80;85;95;60;535
132;Ditto;Transform ;NULL;NULL;3;40;Normal;NULL;Limber;NULL;48;48;48;48;48;288
133;Eevee;Evolution ;NULL;NULL;3;65;Normal;NULL;Run Away;Adaptability;55;50;45;65;55;325
133;Eevee;Evolution ;Gigantamax;NULL;180;0;Normal;NULL;Run Away;Adaptability;55;50;45;65;55;325
133;Eevee;Evolution ;Starter;NULL;3;65;Normal;NULL;Run Away;Adaptability;75;70;65;85;75;435
134;Vaporeon;Bubble Jet ;NULL;NULL;10;290;Water;NULL;Water Absorb;NULL;65;60;110;95;65;525
135;Jolteon;Lightning ;NULL;NULL;8;245;Electric;NULL;Volt Absorb;NULL;65;60;110;95;130;525
136;Flareon;Flame ;NULL;NULL;9;250;Fire;NULL;Flash Fire;NULL;130;60;95;110;65;525
137;Porygon;Virtual ;NULL;NULL;8;365;Normal;NULL;Trace;Download;60;70;85;75;40;395
138;Omanyte;Spiral ;NULL;NULL;4;75;Rock;Water;Swift Swim;Shell Armor;40;100;90;55;35;355
139;Omastar;Spiral ;NULL;NULL;10;350;Rock;Water;Swift Swim;Shell Armor;60;125;115;70;55;495
140;Kabuto;Shellfish ;NULL;NULL;5;115;Rock;Water;Swift Swim;Battle Armor;80;90;55;45;55;355
141;Kabutops;Shellfish ;NULL;NULL;13;405;Rock;Water;Swift Swim;Battle Armor;115;105;65;70;80;495
142;Aerodactyl;Fossil ;NULL;NULL;18;590;Rock;Flying;Rock Head;Pressure;105;65;60;75;130;515
142;Aerodactyl;Fossil ;Mega;NULL;21;790;Rock;Flying;Tough Claws;NULL;135;85;70;95;150;615
143;Snorlax;Sleeping ;Gigantamax;NULL;350;0;Normal;NULL;Immunity;Thick Fat;110;65;65;110;30;540
143;Snorlax;Sleeping ;NULL;NULL;21;4600;Normal;NULL;Immunity;Thick Fat;110;65;65;110;30;540
144;Articuno;Freeze ;NULL;"""Sub-Legendary""";17;554;Ice;Flying;Pressure;NULL;85;100;95;125;85;580
144;Articuno;Cruel ;Galar;"""Sub-Legendary""";17;509;Psychic;Flying;Competitive;NULL;85;85;125;100;95;580
145;Zapdos;Strong Legs ;Galar;"""Sub-Legendary""";16;582;Fighting;Flying;Defiant;NULL;125;90;85;90;100;580
145;Zapdos;Electric ;NULL;"""Sub-Legendary""";16;526;Electric;Flying;Pressure;NULL;90;85;125;90;100;580
146;Moltres;Flame ;NULL;"""Sub-Legendary""";20;600;Fire;Flying;Pressure;NULL;100;90;125;85;90;580
146;Moltres;Malevolent ;Galar;"""Sub-Legendary""";20;660;Dark;Flying;Berserk;NULL;85;90;100;125;90;580
147;Dratini;Dragon ;NULL;NULL;18;33;Dragon;NULL;Shed Skin;NULL;64;45;50;50;50;300
148;Dragonair;Dragon ;NULL;NULL;40;165;Dragon;NULL;Shed Skin;NULL;84;65;70;70;70;420
149;Dragonite;Dragon ;NULL;NULL;22;2100;Dragon;Flying;Inner Focus;NULL;134;95;100;100;80;600
150;Mewtwo;Genetic ;NULL;"""Legendary""";20;1220;Psychic;NULL;Pressure;NULL;110;90;154;90;130;680
150;Mewtwo;Genetic ;Mega X;"""Legendary""";23;1270;Psychic;NULL;Steadfast;NULL;190;100;154;100;130;780
150;Mewtwo;Genetic ;Mega Y;"""Legendary""";15;330;Psychic;NULL;Insomnia;NULL;150;70;194;120;140;780
151;Mew;New Species ;NULL;"""Mythical""";4;40;Psychic;NULL;Synchronize;NULL;100;100;100;100;100;600
152;Chikorita;Leaf ;NULL;NULL;9;64;Grass;NULL;Overgrow;NULL;49;65;49;65;45;318
153;Bayleef;Leaf ;NULL;NULL;12;158;Grass;NULL;Overgrow;NULL;62;80;63;80;60;405
154;Meganium;Herb ;NULL;NULL;18;1005;Grass;NULL;Overgrow;NULL;82;100;83;100;80;525
155;Cyndaquil;Fire Mouse ;NULL;NULL;5;79;Fire;NULL;Blaze;NULL;52;43;60;50;65;309
156;Quilava;Volcano ;NULL;NULL;9;190;Fire;NULL;Blaze;NULL;64;58;80;65;80;405
157;Typhlosion;Volcano ;NULL;NULL;17;795;Fire;NULL;Blaze;NULL;84;78;109;85;100;534
157;Typhlosion;Ghost Flame ;Hisui;NULL;16;698;Fire;Ghost;Blaze;NULL;84;78;119;85;95;534
158;Totodile;Big Jaw ;NULL;NULL;6;95;Water;NULL;Torrent;NULL;65;64;44;48;43;314
159;Croconaw;Big Jaw ;NULL;NULL;11;250;Water;NULL;Torrent;NULL;80;80;59;63;58;405
160;Feraligatr;Big Jaw ;NULL;NULL;23;888;Water;NULL;Torrent;NULL;105;100;79;83;78;530
